rs ws errorXT errorYT errorG
3 7 8.62665 37.1066 22.8666
3 9 28.4517 99.5383 63.995
3 11 12.5864 67.7701 40.1783
5 9 6.5347 70.4125 38.4736
5 11 21.0973 75.7197 48.4085
5 13 14.762 62.5645 38.6633
7 13 4.51745 37.5045 21.011
7 15 7.55066 41.3557 24.4532
7 17 10.9281 33.1654 22.0467
